session,equity,cash,long,short,spy,n_positions,n_trades,cost
2026-09-17T09:30:00-04:00,1000.0,1000.0,0,0,763.1500244140625,0,0,0
2026-09-17T16:00:00-04:00,1000.0294,1000.0294,0,0,762.5999755859375,0,0,0
2026-09-18T09:30:00-04:00,1000.1086,1000.1086,0,0,761.3099975585938,0,0,0
2026-09-18T16:00:00-04:00,1000.1381,1000.1381,0,0,761.6900024414062,0,0,0
2026-09-21T09:30:00-04:00,1000.4353,1000.4353,0,0,766.2509765625,0,0,0
2026-09-21T16:00:00-04:00,1000.4649,1000.4649,0,0,773.5,0,0,0
2026-09-22T09:30:00-04:00,1000.5444,1000.5444,0,0,774.030029296875,0,0,0
2026-09-22T16:00:00-04:00,1000.5741,1000.5741,0,0,773.3800048828125,0,0,0
2026-09-23T09:30:00-04:00,1000.6541,1000.6541,0,0,772.780029296875,0,0,0
2026-09-23T16:00:00-04:00,1000.684,1000.684,0,0,767.8099975585938,0,0,0
2026-09-24T09:30:00-04:00,1000.7645,1000.7645,0,0,764.0650024414062,0,0,0
2026-09-24T16:00:00-04:00,1000.7634,688.0265,312.74,0,767.27001953125,1,1,0.0313
