session,equity,cash,long,short,spy,n_positions,n_trades,cost
2026-09-17T09:30:00-04:00,1000.0,1000.0,0,0,763.1500244140625,0,0,0
2026-09-17T16:00:00-04:00,1000.0294,1000.0294,0,0,762.5999755859375,0,0,0
2026-09-18T09:30:00-04:00,1000.1086,1000.1086,0,0,761.3099975585938,0,0,0
2026-09-18T16:00:00-04:00,1000.1381,1000.1381,0,0,761.6900024414062,0,0,0
2026-09-21T09:30:00-04:00,1000.4353,1000.4353,0,0,766.2509765625,0,0,0
2026-09-21T16:00:00-04:00,1000.4649,1000.4649,0,0,773.5,0,0,0
2026-09-22T09:30:00-04:00,1000.5444,1000.5444,0,0,774.030029296875,0,0,0
