session,equity,cash,long,short,spy,n_positions,n_trades,cost
2026-09-01T16:00:00-04:00,999.8667,0.0,999.87,0,761.780029296875,3,3,0.1333
2026-09-02T09:30:00-04:00,1000.3214,1000.3214,0,0,762.4500122070312,0,3,0.1333
2026-09-02T16:00:00-04:00,1000.2499,333.4166,666.83,0,765.1599731445312,2,2,0.1
2026-09-03T09:30:00-04:00,1003.666,1003.666,0,0,767.9000244140625,0,2,0.1005
2026-09-03T16:00:00-04:00,1003.5942,334.5314,669.06,0,773.1699829101562,2,2,0.1004
2026-09-04T09:30:00-04:00,1009.7818,1009.7818,0,0,772.010009765625,0,2,0.1011
2026-09-04T16:00:00-04:00,1009.676,0.0,1009.68,0,770.1900024414062,3,3,0.1347
2026-09-08T09:30:00-04:00,1017.4247,1017.4247,0,0,769.0700073242188,0,3,0.1356
2026-09-08T16:00:00-04:00,1017.352,339.1173,678.23,0,765.9600219726562,2,2,0.1017
2026-09-09T09:30:00-04:00,1013.8241,1013.8241,0,0,764.0800170898438,0,2,0.1012
2026-09-09T16:00:00-04:00,1013.8192,675.8794,337.94,0,762.4000244140625,1,1,0.0338
2026-09-10T09:30:00-04:00,1011.3254,1011.3254,0,0,758.030029296875,0,1,0.0335
2026-09-10T16:00:00-04:00,1011.2194,0.0,1011.22,0,757.8300170898438,3,3,0.1348
